video_id,video_name,bitrate,codec,fps,resolution,time,format,duration,file_size,file_path
n_1,#btsjk hot status 🥵🔥#btsjkedit #ytshorts #jkbts #vminkook #fypシ #vkook #viralbts #youtubeshorts [JX3TtxEyKZI].mp4,3030,h264,30.0,1080x1920,1760414085.6925492,mp4,16.300408,6030,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#btsjk hot status 🥵🔥#btsjkedit #ytshorts #jkbts #vminkook #fypシ #vkook #viralbts #youtubeshorts [JX3TtxEyKZI].mp4
n_2,#schoolfights be like #shorts [nwDP0OckgQA].mp4,920,av1,29.903,720x1280,1760414087.5600507,mp4,15.069751,1694,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#schoolfights be like #shorts [nwDP0OckgQA].mp4
n_3,#schoolgangseason2“স্কুল গ্যাং- সিজন 2＂ মহা ধামাকা আসিতেছে 😍 PrankKing  SchoolGang [9yHsYUx_WUQ].mp4,776,av1,29.933481152993348,540x960,1760414086.6959426,mp4,15.092971,1429,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#schoolgangseason2“স্কুল গ্যাং- সিজন 2＂ মহা ধামাকা আসিতেছে 😍 PrankKing  SchoolGang [9yHsYUx_WUQ].mp4
n_4,#seanstrickland explaining #jakepaul fight #ufc #mma #boxing #fightnews #fightmania [AlQ7_BR3Olo].mp4,3076,h264,24.047,1080x1920,1760414089.443739,mp4,43.328435,16273,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#seanstrickland explaining #jakepaul fight #ufc #mma #boxing #fightnews #fightmania [AlQ7_BR3Olo].mp4
n_5,#shortsvideo #স্বাধীনবাংলাদেশ #studentfight #short#shorts #studentmotivation #studentsuccess [RD1vP_rV88s].mp4,876,h264,25.0,720x1280,1760414084.9470887,mp4,28.815964,3084,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#shortsvideo #স্বাধীনবাংলাদেশ #studentfight #short#shorts #studentmotivation #studentsuccess [RD1vP_rV88s].mp4
n_6,#shortvideo #trending #fightvideo #newcreator #subscribe #action [Z67dT5Wi_2c].mp4,3376,h264,60.0,720x1280,1760414088.590185,mp4,36.850068,15189,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#shortvideo #trending #fightvideo #newcreator #subscribe #action [Z67dT5Wi_2c].mp4
n_7,#Stepparents are potentially at risk for civil liabilities! #gilbertgoons #podcast #short [qju6PE9iIJQ].mp4,2097,h264,25.0,1080x1920,1760414087.5659077,mp4,38.057506,9743,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#Stepparents are potentially at risk for civil liabilities! #gilbertgoons #podcast #short [qju6PE9iIJQ].mp4
n_8,#UFC Underdog Kevin Jousset will win at UFC Paris against Brian Battle #fightingstats #mma #bestbet [HUz7S75z6h4].mp4,2726,h264,30.0,1080x1920,1760414085.5444703,mp4,59.001905,19634,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#UFC Underdog Kevin Jousset will win at UFC Paris against Brian Battle #fightingstats #mma #bestbet [HUz7S75z6h4].mp4
n_9,#UFC#MMA#FightNight#UFCHighlights#Knockout#MixedMartialArts#MMAFighter#UFCFans #FightLife [hGOAyPejMMw].mp4,659,av1,30.0,1080x1920,1760414085.5324,mp4,8.521723,686,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#UFC#MMA#FightNight#UFCHighlights#Knockout#MixedMartialArts#MMAFighter#UFCFans #FightLife [hGOAyPejMMw].mp4
n_10,#Valsad માં વાલીઓ માટે લાલબત્તી સમાન કિસ્સો ｜ Bharat Times News [xir8swdlIps].mp4,4273,h264,25.0,1920x1080,1760414085.5897448,mp4,56.912109,29689,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#Valsad માં વાલીઓ માટે લાલબત્તી સમાન કિસ્સો ｜ Bharat Times News [xir8swdlIps].mp4
n_11,#viralvideo #fighting #college #respect #shorts #viralvideo 😱😱😱😱#collegefight #shanu #vlog [4ZGzTIGaAA0].mp4,2218,h264,29.94495412844037,720x1280,1760414089.94802,mp4,18.227664,4936,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#viralvideo #fighting #college #respect #shorts #viralvideo 😱😱😱😱#collegefight #shanu #vlog [4ZGzTIGaAA0].mp4
n_12,#visitnepal2020#collegefight#tsuda [cjGV7RAOq50].mp4,3682,h264,30.0,1920x1080,1760414089.9955928,mp4,7.407166,3329,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#visitnepal2020#collegefight#tsuda [cjGV7RAOq50].mp4
n_13,#warung #trend2025 #tungtungtungsahur #hit #funk #music #newmusic #bắttrend #fighttrend #hottrend [gAfTiDqWDXM].mp4,1751,h264,30.0,720x1280,1760414086.325802,mp4,14.233832,3042,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#warung #trend2025 #tungtungtungsahur #hit #funk #music #newmusic #bắttrend #fighttrend #hottrend [gAfTiDqWDXM].mp4
n_14,#worldstar#tyewhyy#gta5#publicfight [IyG-DsW-eFA].mp4,3673,h264,29.97002997002997,1920x1080,1760414086.931557,mp4,32.763356,14691,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\#worldstar#tyewhyy#gta5#publicfight [IyG-DsW-eFA].mp4
